-------------------------- jModeltest 2.1.10 v20160303 --------------------------
(c) 2011-onwards D. Darriba, G.L. Taboada, R. Doallo and D. Posada,
(1) Department of Biochemistry, Genetics and Immunology
    University of Vigo, 36310 Vigo, Spain.
(2) Department of Electronics and Systems
    University of A Coruna, 15071 A Coruna, Spain.
e-mail: ddarriba@udc.es, dposada@uvigo.es
--------------------------------------------------------------------------------
 
Mon Aug 07 10:02:12 PDT 2017
Linux 2.6.32-696.3.2.el6.x86_64, arch: amd64, bits: 64, numcores: 24
 
--------------------------------------------------------------------------------
Citation: Darriba D, Taboada GL, Doallo R and Posada D. 2012.
          "jModelTest 2: more models, new heuristics and parallel computing".
          Nature Methods 9(8), 772.
--------------------------------------------------------------------------------
 
jModelTest 2.1.10 v20160303
Copyright (C) 2011 D. Darriba, G.L. Taboada, R. Doallo and D. Posada
This program comes with ABSOLUTELY NO WARRANTY
This is free software, and you are welcome to redistribute it under certain
conditions
 
Notice: This program may contain errors. Please inspect results carefully.
 
PhyML binary: /projects/ps-ngbt/opt/comet/jmodeltest2/2.1.10/exe/phyml/PhyML_3.0_linux64 v20130103
 
Arguments = -tr 24 --set-property log-dir=./ -d infile.phy -s 11 -f -i -g 4 -t ML -AIC -AICc -BIC -DT -S BEST -p -a -w

Reading data file "infile.phy"... OK.
  number of sequences: 71
  number of sites: 1055
 
 
---------------------------------------------------------------
*                                                             *
*        COMPUTATION OF LIKELIHOOD SCORES WITH PHYML          *
*                                                             *
---------------------------------------------------------------
 
::Settings::
 
 Phyml version = 20130103
 Phyml binary = PhyML_3.0_linux64
 Phyml path = /projects/ps-ngbt/opt/comet/jmodeltest2/2.1.10/exe/phyml/
 Candidate models = 88
   number of substitution schemes = 11
   including models with equal/unequal base frequencies (+F)
   including models with/without a proportion of invariable sites (+I)
   including models with/without rate variation among sites (+G) (nCat = 4)
 Optimized free parameters (K) = substitution parameters + 139 branch lengths + topology 
 Base tree for likelihood calculations = ML tree
 Tree topology search operation = BEST
 
 
 
::Progress::
 
Model 		 Exec. Time 	 Total Time 	 -lnL
-------------------------------------------------------------------------
F81+G		00h:00:43:04	00h:00:43:04	    3398.0600	 (1/88)
HKY+G		00h:00:45:07	00h:00:45:07	    3325.1896	 (2/88)
TPM3uf+I+G	00h:01:24:07	00h:01:24:07	    3294.9585	 (3/88)
TIM1ef+I+G	00h:01:28:01	00h:01:28:01	    3310.5313	 (4/88)
TVMef+I+G	00h:01:28:06	00h:01:28:06	    3317.9019	 (5/88)
TVM+I+G		00h:01:31:04	00h:01:31:04	    3294.7012	 (6/88)
TIM3ef+I+G	00h:01:31:08	00h:01:31:09	    3311.3637	 (7/88)
TPM1uf+G	00h:00:46:05	00h:01:32:03	    3324.7880	 (8/88)
TIM2ef+I+G	00h:01:34:08	00h:01:34:08	    3306.1464	 (9/88)
TrN+G		00h:00:52:03	00h:01:35:08	    3308.1116	 (10/88)
TPM2+I+G	00h:01:39:00	00h:01:39:00	    3318.4492	 (11/88)
GTR+I+G		00h:01:39:01	00h:01:39:01	    3280.9807	 (12/88)
TPM1+I+G	00h:01:41:03	00h:01:41:04	    3324.7803	 (13/88)
TrNef+I+G	00h:01:41:06	00h:01:41:06	    3311.9418	 (14/88)
SYM+I+G		00h:01:43:05	00h:01:43:05	    3305.4184	 (15/88)
TPM2uf+I+G	00h:01:45:04	00h:01:45:04	    3294.8719	 (16/88)
TPM3+I+G	00h:01:46:04	00h:01:46:05	    3324.6182	 (17/88)
JC+I+G		00h:01:51:01	00h:01:51:01	    3394.2225	 (18/88)
K80+I+G		00h:01:55:04	00h:01:55:04	    3324.6250	 (19/88)
TIM3+I+G	00h:02:00:01	00h:02:00:01	    3282.5779	 (20/88)
TPM1uf+I+G	00h:02:03:01	00h:02:03:01	    3295.2256	 (21/88)
F81+I+G		00h:02:03:05	00h:02:03:05	    3370.9872	 (22/88)
HKY+I+G		00h:02:05:04	00h:02:05:04	    3295.4871	 (23/88)
TVM+G		00h:00:46:09	00h:02:19:02	    3323.4863	 (24/88)
TPM2uf+G	00h:00:55:00	00h:02:19:07	    3324.6473	 (25/88)
TrN+I+G		00h:02:21:05	00h:02:21:06	    3283.3446	 (26/88)
TIM1+G		00h:00:53:04	00h:02:22:00	    3307.6562	 (27/88)
